001  07553 |Loss: 0.000 | Acc: 25.000% 
001  07617 |Loss: 0.000 | Acc: 25.000% 
001  07681 |Loss: 0.000 | Acc: 25.000% 
001  07745 |Loss: 0.000 | Acc: 25.000% 
001  07809 |Loss: 0.000 | Acc: 25.000% 
001  07873 |Loss: 0.000 | Acc: 25.000% 
001  07937 |Loss: 0.000 | Acc: 25.000% 
001  08001 |Loss: 0.000 | Acc: 25.000% 
001  08065 |Loss: 0.000 | Acc: 25.000% 
001  08129 |Loss: 0.000 | Acc: 25.000% 
001  08193 |Loss: 0.000 | Acc: 25.000% 
001  08257 |Loss: 0.000 | Acc: 25.000% 
001  08321 |Loss: 0.000 | Acc: 25.000% 
001  08385 |Loss: 0.000 | Acc: 25.000% 
001  08449 |Loss: 0.000 | Acc: 25.000% 
001  08513 |Loss: 0.000 | Acc: 25.000% 
001  08577 |Loss: 0.000 | Acc: 25.000% 
001  08641 |Loss: 0.000 | Acc: 25.000% 
001  08705 |Loss: 0.000 | Acc: 25.000% 
001  08769 |Loss: 0.000 | Acc: 25.000% 
001  08833 |Loss: 0.000 | Acc: 25.000% 
001  08897 |Loss: 0.000 | Acc: 25.000% 
001  08961 |Loss: 0.000 | Acc: 25.000% 
001  09025 |Loss: 0.000 | Acc: 25.000% 
001  09089 |Loss: 0.000 | Acc: 25.000% 
001  09153 |Loss: 0.000 | Acc: 25.000% 
001  09217 |Loss: 0.000 | Acc: 25.000% 
001  09281 |Loss: 0.000 | Acc: 25.000% 
001  09345 |Loss: 0.000 | Acc: 25.000% 
001  09409 |Loss: 0.000 | Acc: 25.000% 
001  09473 |Loss: 0.000 | Acc: 25.000% 
001  09537 |Loss: 0.000 | Acc: 25.000% 
001  09601 |Loss: 0.000 | Acc: 25.000% 
001  09665 |Loss: 0.000 | Acc: 25.000% 
001  09729 |Loss: 0.000 | Acc: 25.000% 
001  09793 |Loss: 0.000 | Acc: 25.000% 
001  09857 |Loss: 0.000 | Acc: 25.000% 
001  09921 |Loss: 0.000 | Acc: 25.000% 
001  09985 |Loss: 0.000 | Acc: 25.000% 
001  10049 |Loss: 0.000 | Acc: 25.000% 
001  10113 |Loss: 0.000 | Acc: 25.000% 
001  10177 |Loss: 0.000 | Acc: 25.000% 
001  10241 |Loss: 0.000 | Acc: 25.000% 
001  10305 |Loss: 0.000 | Acc: 25.000% 
001  10369 |Loss: 0.000 | Acc: 25.000% 
001  10433 |Loss: 0.000 | Acc: 25.000% 
001  10497 |Loss: 0.000 | Acc: 25.000% 
001  10561 |Loss: 0.000 | Acc: 25.000% 
001  10625 |Loss: 0.000 | Acc: 25.000% 
001  10689 |Loss: 0.000 | Acc: 25.000% 
001  10753 |Loss: 0.000 | Acc: 25.000% 
001  10817 |Loss: 0.000 | Acc: 25.000% 
001  10881 |Loss: 0.000 | Acc: 25.000% 
001  10945 |Loss: 0.000 | Acc: 25.000% 
001  11009 |Loss: 0.000 | Acc: 25.000% 
001  11073 |Loss: 0.000 | Acc: 25.000% 
001  11137 |Loss: 0.000 | Acc: 25.000% 
001  11201 |Loss: 0.000 | Acc: 26.000% 
001  11265 |Loss: 0.000 | Acc: 26.000% 
001  11329 |Loss: 0.000 | Acc: 26.000% 
001  11393 |Loss: 0.000 | Acc: 26.000% 
001  11457 |Loss: 0.000 | Acc: 26.000% 
001  11521 |Loss: 0.000 | Acc: 26.000% 
001  11585 |Loss: 0.000 | Acc: 26.000% 
001  11649 |Loss: 0.000 | Acc: 26.000% 
001  11713 |Loss: 0.000 | Acc: 26.000% 
001  11777 |Loss: 0.000 | Acc: 26.000% 
001  11841 |Loss: 0.000 | Acc: 26.000% 
001  11905 |Loss: 0.000 | Acc: 26.000% 
001  11969 |Loss: 0.000 | Acc: 26.000% 
001  12033 |Loss: 0.000 | Acc: 26.000% 
001  12097 |Loss: 0.000 | Acc: 26.000% 
001  12161 |Loss: 0.000 | Acc: 26.000% 
001  12225 |Loss: 0.000 | Acc: 26.000% 
001  12289 |Loss: 0.000 | Acc: 26.000% 
001  12353 |Loss: 0.000 | Acc: 26.000% 
001  12417 |Loss: 0.000 | Acc: 26.000% 
001  12481 |Loss: 0.000 | Acc: 26.000% 
001  12545 |Loss: 0.000 | Acc: 26.000% 
001  12609 |Loss: 0.000 | Acc: 26.000% 
001  12673 |Loss: 0.000 | Acc: 26.000% 
001  12737 |Loss: 0.000 | Acc: 26.000% 
