001  15105 |Loss: 0.000 | Acc: 25.000% 
001  15233 |Loss: 0.000 | Acc: 25.000% 
001  15361 |Loss: 0.000 | Acc: 25.000% 
001  15489 |Loss: 0.000 | Acc: 25.000% 
001  15617 |Loss: 0.000 | Acc: 25.000% 
001  15745 |Loss: 0.000 | Acc: 25.000% 
001  15873 |Loss: 0.000 | Acc: 25.000% 
001  16001 |Loss: 0.000 | Acc: 25.000% 
001  16129 |Loss: 0.000 | Acc: 25.000% 
001  16257 |Loss: 0.000 | Acc: 25.000% 
001  16385 |Loss: 0.000 | Acc: 25.000% 
001  16513 |Loss: 0.000 | Acc: 25.000% 
001  16641 |Loss: 0.000 | Acc: 25.000% 
001  16769 |Loss: 0.000 | Acc: 25.000% 
001  16897 |Loss: 0.000 | Acc: 25.000% 
001  17025 |Loss: 0.000 | Acc: 25.000% 
001  17153 |Loss: 0.000 | Acc: 25.000% 
001  17281 |Loss: 0.000 | Acc: 25.000% 
001  17409 |Loss: 0.000 | Acc: 25.000% 
001  17537 |Loss: 0.000 | Acc: 25.000% 
001  17665 |Loss: 0.000 | Acc: 25.000% 
001  17793 |Loss: 0.000 | Acc: 25.000% 
001  17921 |Loss: 0.000 | Acc: 25.000% 
001  18049 |Loss: 0.000 | Acc: 25.000% 
001  18177 |Loss: 0.000 | Acc: 25.000% 
001  18305 |Loss: 0.000 | Acc: 25.000% 
001  18433 |Loss: 0.000 | Acc: 25.000% 
001  18561 |Loss: 0.000 | Acc: 25.000% 
001  18689 |Loss: 0.000 | Acc: 25.000% 
001  18817 |Loss: 0.000 | Acc: 25.000% 
001  18945 |Loss: 0.000 | Acc: 25.000% 
001  19073 |Loss: 0.000 | Acc: 25.000% 
001  19201 |Loss: 0.000 | Acc: 25.000% 
001  19329 |Loss: 0.000 | Acc: 25.000% 
001  19457 |Loss: 0.000 | Acc: 25.000% 
001  19585 |Loss: 0.000 | Acc: 25.000% 
001  19713 |Loss: 0.000 | Acc: 25.000% 
001  19841 |Loss: 0.000 | Acc: 25.000% 
001  19969 |Loss: 0.000 | Acc: 25.000% 
001  20097 |Loss: 0.000 | Acc: 25.000% 
001  20225 |Loss: 0.000 | Acc: 25.000% 
001  20353 |Loss: 0.000 | Acc: 25.000% 
001  20481 |Loss: 0.000 | Acc: 25.000% 
001  20609 |Loss: 0.000 | Acc: 26.000% 
001  20737 |Loss: 0.000 | Acc: 26.000% 
001  20865 |Loss: 0.000 | Acc: 26.000% 
001  20993 |Loss: 0.000 | Acc: 26.000% 
001  21121 |Loss: 0.000 | Acc: 26.000% 
001  21249 |Loss: 0.000 | Acc: 26.000% 
001  21377 |Loss: 0.000 | Acc: 26.000% 
001  21505 |Loss: 0.000 | Acc: 26.000% 
001  21633 |Loss: 0.000 | Acc: 26.000% 
001  21761 |Loss: 0.000 | Acc: 26.000% 
001  21889 |Loss: 0.000 | Acc: 26.000% 
001  22017 |Loss: 0.000 | Acc: 26.000% 
001  22145 |Loss: 0.000 | Acc: 26.000% 
001  22273 |Loss: 0.000 | Acc: 26.000% 
001  22401 |Loss: 0.000 | Acc: 26.000% 
001  22529 |Loss: 0.000 | Acc: 26.000% 
001  22657 |Loss: 0.000 | Acc: 26.000% 
001  22785 |Loss: 0.000 | Acc: 26.000% 
001  22913 |Loss: 0.000 | Acc: 26.000% 
001  23041 |Loss: 0.000 | Acc: 26.000% 
001  23169 |Loss: 0.000 | Acc: 26.000% 
001  23297 |Loss: 0.000 | Acc: 26.000% 
001  23425 |Loss: 0.000 | Acc: 26.000% 
001  23553 |Loss: 0.000 | Acc: 26.000% 
001  23681 |Loss: 0.000 | Acc: 26.000% 
001  23809 |Loss: 0.000 | Acc: 26.000% 
001  23937 |Loss: 0.000 | Acc: 26.000% 
001  24065 |Loss: 0.000 | Acc: 26.000% 
001  24193 |Loss: 0.000 | Acc: 26.000% 
